,precision,recall,f1-score,support
0,0.8377880297315741,0.9031624296834047,0.8692477932385337,227009.0
1,0.8476956545837491,0.7550323974082074,0.7986853185197758,162050.0
accuracy,0.8414636340503625,0.8414636340503625,0.8414636340503625,0.8414636340503625
macro avg,0.8427418421576616,0.829097413545806,0.8339665558791547,389059.0
weighted avg,0.8419147318700542,0.8414636340503625,0.8398572662794485,389059.0
